Data,Série,Valor
Jun 2013,M1,310.759832
Jul 2013,M1,304.941433
Aug 2013,M1,308.211808
Sep 2013,M1,311.800042
Oct 2013,M1,308.363436
Nov 2013,M1,325.398936
Dec 2013,M1,354.650948
Jan 2014,M1,323.274695
Feb 2014,M1,326.389329
Mar 2014,M1,321.036411
Apr 2014,M1,320.332877
May 2014,M1,314.796451
Jun 2014,M1,317.270689
Jul 2014,M1,313.720506
Aug 2014,M1,317.892917
Sep 2014,M1,325.937821
Oct 2014,M1,324.78247
Nov 2014,M1,338.309402
Dec 2014,M1,363.361535
Jan 2015,M1,333.454078
Feb 2015,M1,330.708611
Mar 2015,M1,327.92896
Apr 2015,M1,319.444733
May 2015,M1,318.441737
Jun 2015,M1,318.619292
Jul 2015,M1,312.043132
Aug 2015,M1,310.0976
Sep 2015,M1,308.941546
Oct 2015,M1,311.859455
Nov 2015,M1,323.866983
Dec 2015,M1,347.220589
Jan 2016,M1,321.522785
Feb 2016,M1,319.261836
Mar 2016,M1,313.677641
Apr 2016,M1,316.640864
May 2016,M1,314.364643
Jun 2016,M1,315.458133
Jul 2016,M1,313.978056
Aug 2016,M1,313.375647
Sep 2016,M1,323.287076
Oct 2016,M1,322.983773
Nov 2016,M1,332.706192
Dec 2016,M1,363.028546
Jan 2017,M1,326.435805
Feb 2017,M1,333.84563000000003
Mar 2017,M1,325.270676
Apr 2017,M1,327.5708
May 2017,M1,326.537
Jun 2017,M1,333.582469
Jul 2017,M1,333.533428
Aug 2017,M1,330.016863
Sep 2017,M1,335.224186
Oct 2017,M1,334.125389
Nov 2017,M1,348.897769
Dec 2017,M1,383.839562
Jan 2018,M1,347.81612
Feb 2018,M1,349.603126
Mar 2018,M1,355.419947
Apr 2018,M1,359.192039
May 2018,M1,358.130097
Jun 2018,M1,359.116892
Jul 2018,M1,356.789583
Aug 2018,M1,365.71988
Sep 2018,M1,371.430695
Oct 2018,M1,362.857188
Nov 2018,M1,376.198825
Dec 2018,M1,410.226239
Jan 2019,M1,372.836696
Feb 2019,M1,376.405088
Mar 2019,M1,377.380908
Apr 2019,M1,375.671489
May 2019,M1,371.57121
Jun 2019,M1,376.630901
Jul 2019,M1,372.453332
Aug 2019,M1,376.743944
Sep 2019,M1,387.561723
Oct 2019,M1,381.928994
Nov 2019,M1,406.241336
